epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2719.42,1.11011,0.74063,1.10636,0.87416,0.82401,0.90561,0.6942,0.80558,0.59982,0.95204,0.0039061,0.0039061,0.0039061
63,2761.85,1.0872,0.72358,1.10228,0.87136,0.83055,0.9049,0.69613,0.80236,0.64944,0.94554,0.0038062,0.0038062,0.0038062
64,2804.25,1.08331,0.716,1.09838,0.87291,0.82772,0.90324,0.67109,0.85178,0.7094,0.96193,0.0037063,0.0037063,0.0037063
65,2846.65,1.08075,0.72556,1.09619,0.86906,0.82928,0.9045,0.68373,0.82158,0.66106,0.95738,0.0036064,0.0036064,0.0036064
66,2891.27,1.08319,0.72186,1.09505,0.85701,0.86133,0.90782,0.70285,0.8051,0.59191,0.95509,0.0035065,0.0035065,0.0035065
67,2934.57,1.0552,0.71287,1.09084,0.86633,0.84627,0.91206,0.70379,0.80767,0.75943,0.96416,0.0034066,0.0034066,0.0034066
68,2978.24,1.06101,0.73262,1.09701,0.8502,0.83483,0.90601,0.69585,0.80522,0.66294,0.94986,0.0033067,0.0033067,0.0033067
69,3021.28,1.05752,0.70424,1.09753,0.86125,0.83781,0.9082,0.69661,0.79679,0.61586,0.94986,0.0032068,0.0032068,0.0032068
70,3065.38,1.0691,0.71063,1.09058,0.85796,0.85084,0.91256,0.69319,0.81036,0.66834,0.95068,0.0031069,0.0031069,0.0031069
71,3109.63,1.04725,0.69226,1.08833,0.85246,0.84849,0.91406,0.70056,0.83322,0.57763,0.96542,0.003007,0.003007,0.003007
72,3153.49,1.06224,0.69085,1.09274,0.89064,0.83693,0.91098,0.68849,0.80383,0.87706,0.94019,0.0029071,0.0029071,0.0029071
73,3197.38,1.04893,0.70397,1.09385,0.8741,0.83859,0.90727,0.68854,0.82339,0.6883,0.95461,0.0028072,0.0028072,0.0028072
74,3241.33,1.05991,0.69379,1.09175,0.88689,0.84277,0.91987,0.70794,0.80536,0.60093,0.94556,0.0027073,0.0027073,0.0027073
75,3285.24,1.04903,0.67274,1.08851,0.88297,0.83698,0.91601,0.7013,0.81477,0.73228,0.94674,0.0026074,0.0026074,0.0026074
76,3330.15,1.04646,0.68196,1.08228,0.87566,0.84141,0.91218,0.71037,0.79387,0.56565,0.95574,0.0025075,0.0025075,0.0025075
77,3375.17,1.05238,0.6908,1.08933,0.87824,0.84785,0.91573,0.70652,0.80761,0.58614,0.94952,0.0024076,0.0024076,0.0024076
78,3419.16,1.02936,0.67147,1.09123,0.86923,0.84651,0.92023,0.71528,0.78515,0.58339,0.94484,0.0023077,0.0023077,0.0023077
79,3463.32,1.03887,0.68161,1.08757,0.86865,0.85225,0.91656,0.71065,0.77946,0.57933,0.93656,0.0022078,0.0022078,0.0022078
80,3507.75,1.02134,0.66751,1.0733,0.88749,0.83819,0.92078,0.71399,0.77468,0.55016,0.94981,0.0021079,0.0021079,0.0021079
81,3550.71,1.04943,0.68595,1.09064,0.87233,0.85073,0.91862,0.71873,0.76559,0.58218,0.94155,0.002008,0.002008,0.002008
82,3593.15,1.00827,0.65986,1.06902,0.87162,0.85659,0.91851,0.71536,0.76651,0.55006,0.93296,0.0019081,0.0019081,0.0019081
83,3635.54,1.01548,0.63239,1.06702,0.87653,0.85399,0.91605,0.72026,0.75102,0.53902,0.93056,0.0018082,0.0018082,0.0018082
84,3678,1.02966,0.64624,1.06754,0.88498,0.84357,0.91833,0.71736,0.77247,0.53577,0.93684,0.0017083,0.0017083,0.0017083
85,3720.37,1.02198,0.65333,1.07321,0.86887,0.85879,0.91639,0.71856,0.78278,0.54122,0.94051,0.0016084,0.0016084,0.0016084
86,3762.77,1.01234,0.65495,1.07016,0.88153,0.85151,0.91886,0.71629,0.76492,0.56529,0.94194,0.0015085,0.0015085,0.0015085
87,3805.17,1.00084,0.63529,1.06247,0.87907,0.84816,0.91532,0.71277,0.79451,0.55749,0.9499,0.0014086,0.0014086,0.0014086
88,3847.54,1.01836,0.64452,1.07212,0.88656,0.85016,0.92262,0.71398,0.79296,0.56438,0.94151,0.0013087,0.0013087,0.0013087
89,3889.88,1.00979,0.64936,1.06858,0.86978,0.86798,0.92432,0.72663,0.76691,0.54232,0.93811,0.0012088,0.0012088,0.0012088
90,3932.25,1.00224,0.63091,1.07126,0.88401,0.85596,0.92409,0.72937,0.75582,0.54017,0.93739,0.0011089,0.0011089,0.0011089
91,3988.16,0.91116,0.56208,1.03684,0.88393,0.849,0.91787,0.71243,0.78975,0.59243,0.94449,0.001009,0.001009,0.001009
92,4030.33,0.88156,0.50293,1.02018,0.86638,0.86645,0.91879,0.72098,0.75148,0.54129,0.93307,0.0009091,0.0009091,0.0009091
93,4072.53,0.89484,0.51918,1.03094,0.86927,0.86625,0.92105,0.72395,0.75552,0.52122,0.92636,0.0008092,0.0008092,0.0008092
94,4114.69,0.87885,0.52311,1.02106,0.88288,0.85839,0.92201,0.7331,0.74511,0.52253,0.92909,0.0007093,0.0007093,0.0007093
95,4156.96,0.87851,0.50232,1.01989,0.8706,0.86691,0.92336,0.7348,0.74539,0.51101,0.93418,0.0006094,0.0006094,0.0006094
96,4199.27,0.89266,0.51133,1.03552,0.88033,0.8692,0.92428,0.73252,0.75477,0.51643,0.93232,0.0005095,0.0005095,0.0005095
97,4241.45,0.8903,0.50635,1.03108,0.87813,0.87304,0.92862,0.73546,0.75728,0.51056,0.93302,0.0004096,0.0004096,0.0004096
98,4283.76,0.86143,0.48497,1.01214,0.87401,0.87515,0.9273,0.73925,0.74504,0.50061,0.93176,0.0003097,0.0003097,0.0003097
99,4326.02,0.86756,0.49018,1.0101,0.88719,0.86035,0.92715,0.73799,0.74079,0.49821,0.93047,0.0002098,0.0002098,0.0002098
100,4368.17,0.84304,0.47288,0.99215,0.87846,0.87086,0.927,0.74132,0.73488,0.50285,0.92796,0.0001099,0.0001099,0.0001099
